Code,SMILES,Score,,,,,
D98,"[C@]12(C(=O)O[C@@H]3[C@@H]1[C@]([C@@H](CC2)O)([C@H]1[C@H](C3)COC(=O)C1)C)C	",-14,,,,D98,
D99,"C1[C@@H](C(c2c(C1)c1c(c(c2)O)[C@@H]2[C@](CC1)([C@@H](CO2)O)C)(C)C)O	",-13.1,,,,D99,
D100,"C1CC(c2c(C1)c1c(c(c2)O)[C@@H]2[C@](CC1)([C@@H](CO2)O)C)(C)C	",-12.6,,,,D100,
D101,"C1C[C@](c2c(C1)c1c(c(c2)O)[C@@H]2[C@](CC1)([C@@H](CO2)O)C)(C)CO	",-12.6,,,,D101,
D102,"C1C[C@](c2c(C1)c1c(c(c2)O)[C@@H]2[C@](CC1)([C@@H](CO2)O)C)(C)COC(=O)C	",-14.6,,,,D102,
D103,"C1C[C@](c2c(C1)c1c(c(c2)O)[C@@H]2[C@](CC1)([C@H](CO2)O)C)(C)CO	",-12.8,,,,D103,
D104,"C[C@@H]1c2nc3c(cccc3O)c(=O)n2-c2ccccc2C(=O)N1	",-15.1,,,,D104,
D105,"c1c(ccc(c1)/C=C(/C(=C/c1ccc(cc1)O)/[N+]#[C-])\[N+]#[C-])O	",-12.4,,,,D105,
D106,"c1ccc2c(c1)C(=C)NC(=N2)[C@@H](C)O	",-10.9,,,,D106,
D107,"[C@@]123N(c4ccccc4[C@@]1(C=C(C(=O)N2/C(=C/c1cnc[nH]1)/C(=O)N3)O)C(C)(C=C)C)OC	",-14.7,,,,D107,
D108,"C1[C@H]([C@@H](C[C@@]2([C@H](C[C@H](C=C12)O)C)C)C(=C)C)O	",-11.7,,,,D108,
D109,"C(=O)(C)O[C@H]1[C@H]2O[C@H]2C2=CC(=O)[C@]3(C[C@@]2([C@H]1C)C)O[C@]3(C)CO	",-13.5,,,,D109,
D110,"O1[C@H](C=C(C1=O)CC(=O)C)[C@H](C)O	",-9.1,,,,D110,
D111,"O1[C@H](C=C(C1=O)CC[C@H](C)O)C	",-8.7,,,,D111,
D112,"O1[C@H](C=C(C1=O)[C@@H]([C@@H](C)O)O)[C@H](C)O	",-9.3,,,,D112,
D113,"O1[C@H](C=C(C1=O)[C@H]([C@H](C)O)O)[C@H](C)O	",-9.2,,,,D113,
D114,"O1[C@H](C=C(C1=O)[C@@H]([C@@H](C)O)OC)[C@H](C)O	",-9.7,,,,D114,
D115,"O1[C@H](C=C(C1=O)C[C@H](O)C)[C@H](C)O	",-9,,,,D115,
D116,"O1[C@H](C=C(C1=O)C[C@@H](O)C)[C@H](C)O	",-8.9,,,,D116,
D117,"[C@H]1([C@H](C=C(C(=O)O1)[C@@H]([C@@H](C)O)OC)O)C	",-9.6,,,,D117,
D118,"CC(=O)/C=C/C(=C/[C@@H](C)O)/CO	",-8.6,,,,D118,
D119,"O1[C@H](C=C(C1=O)CCO)C	",-7.5,,,,D119,
D120,"[C@H]1([C@H](C=C(C(=O)O1)C[C@H](C)O)O)C	",-9,,,,D120,
D121,"C[C@@H](/C=C(/C=C/[C@@H](C)O)\CO)O	",-8.5,,,,D121,
D122,"C[C@@H](/C=C(/C=C/[C@H](C)O)\CO)O	",-8.7,,,,D122,
D123,"c1(=O)c(c(cc(o1)C[C@H](C)O)O)C	",-9.2,,,,D123,
